matiere;classes;nb_devoirs;coeff;prof_id
SPE MATHS;1B/C;16;1;PTjbz9bkuijqvOpCGAMANH4KbbF3p9S2aB6O_9x6Ttg
SPE PC;1A;13;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;Terminale;14;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;1A;0;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;1A;0;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;1A;0;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;1B/C;16;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE PC;1A;0;1;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c
SPE SES;1B/C;15;1;h9TBuMdPs82YwWigXSwir30nkmktZt7bfCvTtCxtKpo
SPE SES;Terminale;20;1;h9TBuMdPs82YwWigXSwir30nkmktZt7bfCvTtCxtKpo
SPE SES;1B/C;0;1;h9TBuMdPs82YwWigXSwir30nkmktZt7bfCvTtCxtKpo
SPE SES;1B/C;0;1;h9TBuMdPs82YwWigXSwir30nkmktZt7bfCvTtCxtKpo
SPE SES;1B/C;1;1;h9TBuMdPs82YwWigXSwir30nkmktZt7bfCvTtCxtKpo
SPE SVT;1A;4;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A;0;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A, 1B/C;0;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A, 1B/C;2;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A, 1B/C;1;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A, 1B/C;1;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SPE SVT;1A, 1B/C;0;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;2A;4;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;2B;4;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;2C;4;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;3A;3;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;3B;4;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;3C;2;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;3C;0;1;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc
SVT;4A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;4B;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;4C;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;5A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;5B;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;5C;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6B;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6C;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6B;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6B;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6C;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
SVT;6C;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
TECHNOLOGIE;3A;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;3B;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;3C;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;4A;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;4B;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;4C;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;5A;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;5B;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
TECHNOLOGIE;5C;0;1;ywwjhXxl74g4FdQLK4ubsy9jrAvMHofIPf7-fnUjGBM
VIE DE CLASSE;3A;0;1;169qgqWJKYu0X6AGwgni4tp2-GfqtRj4IUeZ5eBOvFo
VIE DE CLASSE;6A;0;1;vYwY7IHgLrgQt2fnlJv19hR0whjORIp_55n8V740VDU
