classes;matiere;date;trimestre;sur;coeff;note;eleve_id;prof_id;niveau;niveau_de_classe;note_ponderee
1A;Mathématiques;2023-11-28;Trimestre 1;30;1.0;14.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;9.666666666666666
1A;Hist-Géo/EMC;2023-11-29;Trimestre 1;20;2.0;12.5;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;25.0
1A;SVT;2023-12-01;Trimestre 1;20;2.0;16.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;7dLZyMhOF_FPmomOc2iu30jdKEJUFwLL3G2BAqLUUCc;lycée;Première;32.0
1A;SPC;2023-12-04;Trimestre 1;20;2.0;8.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;aR5r7eJWG3uAF4iOt4zShmtqKpBy0liTVOxdOWKG6_c;lycée;Première;16.0
1A;Hist-Géo/EMC;2023-12-05;Trimestre 1;20;1.0;15.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;15.0
1A;Français;2023-12-06;Trimestre 1;20;1.0;12.0;x98XOvwoNyehe5aGZFC4QGm8ZPyM6Sof0LJwXpfNP-c;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;12.0
1A;Français;2023-09-21;Trimestre 1;20;1.0;18.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;0-qkoCBCeu1-A2WvQZEecuK98nvosoTdzUTdiI6lwDo;lycée;Première;18.0
1A;SPC;2023-09-25;Trimestre 1;20;0.5;16.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;zalvxQljlC_iyENJQK4qClMhXqp3ZogCFPq9JR9Yalw;lycée;Première;8.0
1A;Mathématiques;2023-09-26;Trimestre 1;20;1.0;7.0;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;JumFXm1J2Jm1zAFbJ-KKVcMFxl2mfiu882gBggAozMg;lycée;Première;7.0
1A;Hist-Géo/EMC;2023-09-27;Trimestre 1;10;1.0;7.25;Jmb2Zp7OzViHfStfxbPZejJQGwNhalrYDPUL9ackCNk;MkTDEy0fzub_lzFNRBxLLG0sLd5mzSpMxX3wx8l6Guo;lycée;Première;14.5
